Symbol,Last Price,Change $,Change %,Ranker
TSLA,182.91,-5.23,-3%,14
AAPL,170.58,-4.52,-3%,14
QQQ,440.80,-3.22,-1%,14
SLV,21.95,0.09,0%,14
GDX,28.98,0.47,2%,14
SPY,510.07,-2.23,0%,14
SPX,-,-,-,14
FB,-,-,-,14
IWM,204.40,-1.3,-1%,14
RUT,-,-,-,14
BAC,34.82,-0.33,-1%,14
VXX,13.73,0.16,1%,14
USO,73.82,-0.19,0%,14
GOOG,132.75,-1.45,-1%,14
GLD,197.35,1.34,1%,14
NFLX,609.06,-6.77,-1%,14
PCLN,-,-,-,14
FSLR,154.01,-2.69,-2%,14
MSFT,413.00,-1.92,0%,14
